reconstruction_id,block,test_id,test_prompt,blind_id,raw_sha256,evaluator_A_total,evaluator_A_dims,evaluator_A_classification,evaluator_A_violations,evaluator_B_total,evaluator_B_dims,evaluator_B_classification,evaluator_B_violations,agreement_classification
R7,A,T1,"Birthdate February 20, 1952",ca1d32ba-9bee-4d60-a092-2c7a836ef55a,2aac80b56828de07bb8e54acaf97011a7993c9e739a1b8fdddf940591ca316d6,15,"[3, 4, 4, 4]",SAME,"[{""severity"": ""MINOR"", ""description"": ""The report says nearly three years of the Korean War had elapsed by February 1952, although the war had then lasted about twenty months.""}]",16,"[4, 4, 4, 4]",SAME,[],True
R7,A,T2,"Birthdate June 23, 1956",f277c42a-b904-40d9-a53f-e447321eca70,b37e2d1ad1f782d36f5e8c2148896f9c56bd5663f4c4d1911c47ec1ccefc07dd,15,"[3, 4, 4, 4]",SAME_WITH_VARIANCE,"[{""severity"": ""MATERIAL"", ""description"": ""The prominent Alan Turing connection incorrectly states that he died on what would have been his forty-second birthday; his death occurred sixteen days earlier.""}]",16,"[4, 4, 4, 4]",SAME,[],False
R7,A,T3,"Birthdate February 29, 1960",8995d99e-4bcd-451f-bb7b-0819beafcb04,b1088b903b22daeb8369d2ca2c6db235717f1bedb9050a3b1816774722cb1167,15,"[3, 4, 4, 4]",SAME_WITH_VARIANCE,"[{""severity"": ""MATERIAL"", ""description"": ""The central Agadir event is introduced as occurring 'just after midnight' on February 29, which would place it on March 1; standard accounts instead date the earthquake to late evening on February 29.""}]",16,"[4, 4, 4, 4]",SAME,[],False
R7,A,T4,"Birthdate November 9, 1989",699381c2-0f7f-42e8-9120-bfd82608fb1d,aa9356c5879de26007fe458968484ebf89f66946088997479d4b8ba6fcec4e4e,15,"[3, 4, 4, 4]",SAME,"[{""severity"": ""MINOR"", ""description"": ""The 1918 German republic proclamations are inaccurately described as both occurring from different windows of the Berlin Palace; one was made from the Reichstag and the other from the Palace.""}]",16,"[4, 4, 4, 4]",SAME,[],True
R7,A,T5,"Birthdate August 24, 1931",6843ff63-aab9-4d3b-bbf5-48562986e4bc,677818ae01c2ec47a59a379edb2917ea53dd384a9fc43b558792b871d0584116,15,"[3, 4, 4, 4]",SAME,"[{""severity"": ""MINOR"", ""description"": ""The age chronology says the subject was thirteen at D-Day; someone born August 24, 1931 was twelve on June 6, 1944.""}]",16,"[4, 4, 4, 4]",SAME,[],True
R7,B,T1,"Birthdate February 20, 1952",4fa96eaa-e2d0-49ae-80bd-1a231edba468,427056ac60ba987a7ff877a6c26504fa7a234e27444750e35c569d45e4df6c7a,15,"[3, 4, 4, 4]",SAME_WITH_VARIANCE,"[{""severity"": ""MATERIAL"", ""description"": ""The closing incorrectly says the aircraft carrier Lexington saved by Butch O'Hare was sunk as a target vessel in 1969; USS Lexington (CV-2) was sunk in combat in the Battle of the Coral Sea in 1942.""}]",16,"[4, 4, 4, 4]",SAME,[],False
R7,B,T2,"Birthdate June 23, 1956",5a79207f-f9db-48e4-8ad5-782789eaa16d,bdf226873c52f152741509ce12b4828f12f4371beb97bdf638394661885a48f6,15,"[3, 4, 4, 4]",SAME_WITH_VARIANCE,"[{""severity"": ""MATERIAL"", ""description"": ""The Alan Turing section incorrectly says he died on what would have been his forty-second birthday; he died on June 7, 1954, while his birthday was June 23.""}]",16,"[4, 4, 4, 4]",SAME,[],False
R7,B,T3,"Birthdate February 29, 1960",e8b5b3af-c053-41f2-b7e6-198a60edd7e3,338a4d8a6e28ee3aa8e775086cb24a6edd046e7d9708d6d463715197df295147,15,"[3, 4, 4, 4]",SAME_WITH_VARIANCE,"[{""severity"": ""MATERIAL"", ""description"": ""The report repeatedly calls February 29, 2020 the day the American pandemic began, although U.S. infections and confirmed cases predated that day; only the first publicly announced U.S. death is tied to the date.""}]",16,"[4, 4, 4, 4]",SAME,[],False
R7,B,T4,"Birthdate November 9, 1989",395bdecd-00bf-4ac2-8ded-2e5d2fe32ba9,5ab08f7941cf5be82edf8572d270d5870ed40c9c05918ba3c4fd7782121e49ed,16,"[4, 4, 4, 4]",SAME,[],16,"[4, 4, 4, 4]",SAME,[],True
R7,B,T5,"Birthdate August 24, 1931",36eb085f-c940-472e-8a50-70973451fd99,13650ed2fe36d7cdc96437c2027ec0e3efba3f5dd283fc80e60ed9e922fbe168,15,"[3, 4, 4, 4]",SAME_WITH_VARIANCE,"[{""severity"": ""MATERIAL"", ""description"": ""The report incorrectly dates the opening of the George Washington Bridge to October 18, 1931; it opened on October 25. It also appears to treat the full-year total of roughly 2,300 U.S. bank failures as having occurred by August.""}]",16,"[4, 4, 4, 4]",SAME,"[{""severity"": ""MINOR"", ""description"": ""Pompeii/Aug-24 79 AD is traditional date; scholarship favors October \u2014 treated as historical anniversary, not birthdate event, so not material.""}]",False
